Temperature - (Celsius), Year, Statistics, Country, ISO3
23.5021, 2009, Sep Average, Tanzania, United Republic of, TZA
24.4421, 2009, Oct Average, Tanzania, United Republic of, TZA
23.8286, 2009, Nov Average, Tanzania, United Republic of, TZA
24.305, 2009, Dec Average, Tanzania, United Republic of, TZA
24.0002, 2010, Jan Average, Tanzania, United Republic of, TZA
23.8388, 2010, Feb Average, Tanzania, United Republic of, TZA
23.8277, 2010, Mar Average, Tanzania, United Republic of, TZA
23.5826, 2010, Apr Average, Tanzania, United Republic of, TZA
22.7242, 2010, May Average, Tanzania, United Republic of, TZA
21.276, 2010, Jun Average, Tanzania, United Republic of, TZA
20.7819, 2010, Jul Average, Tanzania, United Republic of, TZA
21.6022, 2010, Aug Average, Tanzania, United Republic of, TZA
23.0009, 2010, Sep Average, Tanzania, United Republic of, TZA
24.7369, 2010, Oct Average, Tanzania, United Republic of, TZA
24.3791, 2010, Nov Average, Tanzania, United Republic of, TZA
23.9614, 2010, Dec Average, Tanzania, United Republic of, TZA
23.4426, 2011, Jan Average, Tanzania, United Republic of, TZA
23.395, 2011, Feb Average, Tanzania, United Republic of, TZA
23.2835, 2011, Mar Average, Tanzania, United Republic of, TZA
23.1149, 2011, Apr Average, Tanzania, United Republic of, TZA
22.7057, 2011, May Average, Tanzania, United Republic of, TZA
21.4746, 2011, Jun Average, Tanzania, United Republic of, TZA
20.7093, 2011, Jul Average, Tanzania, United Republic of, TZA
21.6237, 2011, Aug Average, Tanzania, United Republic of, TZA
22.9992, 2011, Sep Average, Tanzania, United Republic of, TZA
23.5043, 2011, Oct Average, Tanzania, United Republic of, TZA
23.4204, 2011, Nov Average, Tanzania, United Republic of, TZA
23.2982, 2011, Dec Average, Tanzania, United Republic of, TZA
22.998, 2012, Jan Average, Tanzania, United Republic of, TZA
23.6619, 2012, Feb Average, Tanzania, United Republic of, TZA
23.6267, 2012, Mar Average, Tanzania, United Republic of, TZA
22.6967, 2012, Apr Average, Tanzania, United Republic of, TZA
22.1184, 2012, May Average, Tanzania, United Republic of, TZA
20.9237, 2012, Jun Average, Tanzania, United Republic of, TZA
20.6298, 2012, Jul Average, Tanzania, United Republic of, TZA
21.9907, 2012, Aug Average, Tanzania, United Republic of, TZA
23.182, 2012, Sep Average, Tanzania, United Republic of, TZA
24.66, 2012, Oct Average, Tanzania, United Republic of, TZA
24.2678, 2012, Nov Average, Tanzania, United Republic of, TZA
23.7015, 2012, Dec Average, Tanzania, United Republic of, TZA
23.7156, 2013, Jan Average, Tanzania, United Republic of, TZA
23.95, 2013, Feb Average, Tanzania, United Republic of, TZA
23.573, 2013, Mar Average, Tanzania, United Republic of, TZA
22.1629, 2013, Apr Average, Tanzania, United Republic of, TZA
22.3001, 2013, May Average, Tanzania, United Republic of, TZA
20.6108, 2013, Jun Average, Tanzania, United Republic of, TZA
20.9818, 2013, Jul Average, Tanzania, United Republic of, TZA
21.6901, 2013, Aug Average, Tanzania, United Republic of, TZA
23.5657, 2013, Sep Average, Tanzania, United Republic of, TZA
24.1138, 2013, Oct Average, Tanzania, United Republic of, TZA
24.5623, 2013, Nov Average, Tanzania, United Republic of, TZA
23.6622, 2013, Dec Average, Tanzania, United Republic of, TZA
23.5772, 2014, Jan Average, Tanzania, United Republic of, TZA
23.518, 2014, Feb Average, Tanzania, United Republic of, TZA
23.3981, 2014, Mar Average, Tanzania, United Republic of, TZA
22.4674, 2014, Apr Average, Tanzania, United Republic of, TZA
23.1728, 2014, May Average, Tanzania, United Republic of, TZA
21.5055, 2014, Jun Average, Tanzania, United Republic of, TZA
21.4752, 2014, Jul Average, Tanzania, United Republic of, TZA
21.2949, 2014, Aug Average, Tanzania, United Republic of, TZA
23.1467, 2014, Sep Average, Tanzania, United Republic of, TZA
23.5525, 2014, Oct Average, Tanzania, United Republic of, TZA
24.3449, 2014, Nov Average, Tanzania, United Republic of, TZA
24.4296, 2014, Dec Average, Tanzania, United Republic of, TZA
23.556, 2015, Jan Average, Tanzania, United Republic of, TZA
23.7412, 2015, Feb Average, Tanzania, United Republic of, TZA
23.5217, 2015, Mar Average, Tanzania, United Republic of, TZA
22.6098, 2015, Apr Average, Tanzania, United Republic of, TZA
22.0059, 2015, May Average, Tanzania, United Republic of, TZA
21.4699, 2015, Jun Average, Tanzania, United Republic of, TZA
21.2889, 2015, Jul Average, Tanzania, United Republic of, TZA
22.075, 2015, Aug Average, Tanzania, United Republic of, TZA
23.659, 2015, Sep Average, Tanzania, United Republic of, TZA
24.8323, 2015, Oct Average, Tanzania, United Republic of, TZA
23.8834, 2015, Nov Average, Tanzania, United Republic of, TZA
24.3434, 2015, Dec Average, Tanzania, United Republic of, TZA
24.369, 2016, Jan Average, Tanzania, United Republic of, TZA
24.4467, 2016, Feb Average, Tanzania, United Republic of, TZA
24.5842, 2016, Mar Average, Tanzania, United Republic of, TZA
23.1199, 2016, Apr Average, Tanzania, United Republic of, TZA
22.273, 2016, May Average, Tanzania, United Republic of, TZA
21.3685, 2016, Jun Average, Tanzania, United Republic of, TZA
21.2569, 2016, Jul Average, Tanzania, United Republic of, TZA
21.7738, 2016, Aug Average, Tanzania, United Republic of, TZA
22.7673, 2016, Sep Average, Tanzania, United Republic of, TZA
24.1798, 2016, Oct Average, Tanzania, United Republic of, TZA
24.2878, 2016, Nov Average, Tanzania, United Republic of, TZA
24.457, 2016, Dec Average, Tanzania, United Republic of, TZA
