Rainfall - (MM), Year, Statistics, Country, ISO3
126.431, 2014, May Average, Uganda, UGA
96.3035, 2014, Jun Average, Uganda, UGA
97.5322, 2014, Jul Average, Uganda, UGA
141.778, 2014, Aug Average, Uganda, UGA
191.009, 2014, Sep Average, Uganda, UGA
133.168, 2014, Oct Average, Uganda, UGA
116.547, 2014, Nov Average, Uganda, UGA
58.0796, 2014, Dec Average, Uganda, UGA
25.5304, 2015, Jan Average, Uganda, UGA
29.1744, 2015, Feb Average, Uganda, UGA
66.419, 2015, Mar Average, Uganda, UGA
123.134, 2015, Apr Average, Uganda, UGA
141.61, 2015, May Average, Uganda, UGA
198.953, 2015, Jun Average, Uganda, UGA
61.4314, 2015, Jul Average, Uganda, UGA
72.1642, 2015, Aug Average, Uganda, UGA
141.16, 2015, Sep Average, Uganda, UGA
201.687, 2015, Oct Average, Uganda, UGA
211.078, 2015, Nov Average, Uganda, UGA
102.772, 2015, Dec Average, Uganda, UGA
86.6088, 2016, Jan Average, Uganda, UGA
27.6312, 2016, Feb Average, Uganda, UGA
89.5341, 2016, Mar Average, Uganda, UGA
180.276, 2016, Apr Average, Uganda, UGA
154.995, 2016, May Average, Uganda, UGA
110.991, 2016, Jun Average, Uganda, UGA
156.151, 2016, Jul Average, Uganda, UGA
124.955, 2016, Aug Average, Uganda, UGA
85.6372, 2016, Sep Average, Uganda, UGA
143.482, 2016, Oct Average, Uganda, UGA
94.0705, 2016, Nov Average, Uganda, UGA
120.528, 2016, Dec Average, Uganda, UGA
