Rainfall - (MM), Year, Statistics, Country, ISO3
43.3486, 2015, Oct Average, Tanzania, United Republic of, TZA
126.78, 2015, Nov Average, Tanzania, United Republic of, TZA
188.534, 2015, Dec Average, Tanzania, United Republic of, TZA
247.081, 2016, Jan Average, Tanzania, United Republic of, TZA
162.16, 2016, Feb Average, Tanzania, United Republic of, TZA
159.638, 2016, Mar Average, Tanzania, United Republic of, TZA
236.497, 2016, Apr Average, Tanzania, United Republic of, TZA
50.1026, 2016, May Average, Tanzania, United Republic of, TZA
13.2669, 2016, Jun Average, Tanzania, United Republic of, TZA
14.2868, 2016, Jul Average, Tanzania, United Republic of, TZA
7.18494, 2016, Aug Average, Tanzania, United Republic of, TZA
15.7348, 2016, Sep Average, Tanzania, United Republic of, TZA
19.0238, 2016, Oct Average, Tanzania, United Republic of, TZA
67.3688, 2016, Nov Average, Tanzania, United Republic of, TZA
143.873, 2016, Dec Average, Tanzania, United Republic of, TZA
